cluster,genre,danceability,energy,valence,loudness,track_name,artist_name,popularity
1,Alternative,0.733,0.474,0.328,-8.024,Lose My Cool,Amber Mark,60
3,Pop,0.732,0.629,0.683,-4.64,Overwhelming,Jon Bellion,65
4,Ska,0.365,0.869,0.45,-4.8,B.O.O.T. (Live),Pepper,16
0,Indie,0.502,0.582,0.412,-10.239,Bluebird,Beach House,44
3,Rap,0.908,0.621,0.421,-6.638,HUMBLE.,Kendrick Lamar,86
3,Pop,0.907,0.625,0.605,-5.557,Blow the Whistle,Too $hort,62
2,Classical,0.0845,0.0282,0.0389,-27.916,"Macbeth, Act IV: Patria oppressa! (Live)",Giuseppe Verdi,0
4,Comedy,0.484,0.904,0.175,-13.305,Spelling,Katt Williams,17
0,Reggaeton,0.635,0.768,0.573,-4.244,Fake Love,Carlitos Rossy,38
0,Electronic,0.34,0.819,0.114,-8.884,One Eye Open - Trentemøller Remix Hbt Edit,Trentemøller,35
0,Hip-Hop,0.62,0.643,0.15,-6.597,SUMMER SALT (with Bari),Smino,53
3,Electronic,0.703,0.58,0.968,-10.025,Les Yper-Sound,Stereolab,38
4,Blues,0.286,0.806,0.109,-1.949,I Can't Wait,The White Stripes,31
1,Blues,0.631,0.354,0.522,-11.112,Dirty Work,Steely Dan,64
4,Children’s Music,0.502,0.591,0.169,-4.522,Deep Inside of You - 2008 Version,Third Eye Blind,50
4,Electronic,0.635,0.784,0.31,-7.718,Ketto,Bonobo,47
2,Opera,0.322,0.201,0.0871,-12.741,"Verdi: Macbeth, Act 1: ""Nel dì della vittoria ... Vieni t'affretta"" (Lady Macbeth, Chorus)",Giuseppe Verdi,32
4,Alternative,0.66,0.689,0.427,-2.671,Primadonna,MARINA,57
3,Reggae,0.811,0.47,0.493,-7.308,Tahoe,Audiodub,38
3,Hip-Hop,0.809,0.801,0.744,-5.461,Old English,Young Thug,58
4,Soul,0.644,0.655,0.397,-6.507,Don't Call Me (feat. Yuna),TOKiMONSTA,52
0,Country,0.687,0.729,0.259,-6.916,Ridin High,Jawga Boyz,54
2,Opera,0.398,0.188,0.191,-17.395,¡ Ay ! este azul,Christina Pluhar,25
2,Folk,0.373,0.114,0.173,-17.951,Higher Love,James Vincent McMorrow,56
0,World,0.228,0.625,0.115,-5.67,Arms Open Wide - Live,North Point InsideOut,24
1,Children's Music,0.771,0.351,0.497,-13.14,The Wind Blow East,Enzo Garcia,0
1,Soul,0.664,0.37,0.209,-10.617,Just Let It Go,India.Arie,43
0,Pop,0.747,0.569,0.167,-6.679,BiPolar (feat. Quavo),Gucci Mane,76
3,World,0.587,0.732,0.747,-8.097,Home Again!,Menahan Street Band,47
3,Dance,0.72,0.867,0.525,-4.221,Gucci Rock N Rolla (feat. Rivers Cuomo & KYLE) - Banx & Ranx Remix,Snakehips,55
4,Hip-Hop,0.546,0.695,0.182,-6.374,Sunrise,Childish Gambino,51
1,Electronic,0.389,0.361,0.237,-11.843,End of Our Days,Archive,21
4,Alternative,0.618,0.956,0.487,-3.297,Dirty Laundry,Nickelback,49
2,Soundtrack,0.191,0.265,0.0539,-20.183,Tempelhof,Yann Tiersen,38
3,Soul,0.776,0.54,0.703,-5.727,Happy,Nao,46
4,World,0.654,0.732,0.443,-8.359,Spiderbite,Beats Antique,28
3,Children’s Music,0.565,0.905,0.684,-3.575,Put Your Money On Me,The Struts,52
3,Folk,0.612,0.409,0.698,-6.797,First Try,Johnnyswim,56
1,Rap,0.768,0.471,0.405,-8.406,X (with 2 Chainz & Saudi),ScHoolboy Q,77
1,Pop,0.544,0.397,0.682,-8.394,Simple & Sweet,Jon Bellion,56
0,Hip-Hop,0.647,0.673,0.527,-5.992,Wake Up,Fetty Wap,59
3,Folk,0.587,0.46,0.806,-8.759,Hurt so Good,Mipso,39
3,Rock,0.686,0.622,0.982,-7.31,Louisiana Saturday Night,Mel McDaniel,61
0,Reggae,0.532,0.523,0.379,-11.664,Good Times,The Holdup,29
0,Ska,0.468,0.915,0.851,-4.854,Nuisance,Dance Hall Crashers,16
0,Children’s Music,0.452,0.81,0.439,-4.748,Confidence,Sanctus Real,62
1,Children’s Music,0.514,0.36,0.27,-7.001,Hear Me Now (feat. DIAMANTE)[Acoustic],Bad Wolves,46
3,Rock,0.599,0.853,0.676,-3.878,Young Volcanoes,Fall Out Boy,57
